QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Category,SubCategory,Difficulty,Marks,NegativeMarks,EstimatedTime,Explanation,Keywords,Active
33,Choose the correctly spelled word.,Entreprenuer,Entrepreneur,Enterpreneur,Entrepeneur,B,Verbal Ability,Vocabulary,Medium,2,0.25,45,Entrepreneur is the correct spelling.,spelling,TRUE
34,Fill in the blank: The manager is responsible ___ supervising the staff.,for,to,with,on,A,Verbal Ability,Fill in the Blanks,Medium,2,0.25,45,Responsible for is the correct expression.,preposition,TRUE
35,A line graph is most suitable for showing:,Composition over time,Comparison between categories,Trend over time,Ranking,C,Data Interpretation,Line Chart,Easy,1,0.25,30,Line graphs display trends.,line graph,TRUE
36,"A student scored 72, 68, 80 and 76 marks in four subjects. What is the average?",72,73,74,75,C,Quantitative Aptitude,Average,Medium,2,0.25,60,Average = (72+68+80+76)/4 = 74.,average,TRUE
37,If the compound interest on ₹5000 at 10% per annum for 2 years is:,"₹ 1,000","₹ 1,050","₹ 1,100","₹ 1,200",B,Quantitative Aptitude,Compound Interest,Medium,2,0.25,60,"Amount = 5000×1.1² = 6050, CI = 1050.",compound interest,TRUE
38,A train running at 90 km/h crosses a pole in 16 seconds. What is the length of the train?,350 m,375 m,400 m,450 m,C,Quantitative Aptitude,Time Speed Distance,Medium,2,0.25,60,90 km/h = 25 m/s. Length = 25×16 = 400 m.,train,TRUE
39,"Which number replaces the question mark? 7, 14, 28, 56, ?",98,102,112,120,C,Logical Reasoning,Series,Medium,2,0.25,60,Each term is doubled.,series,TRUE
40,"The following table shows the number of books read by four students in a month: A=8, B=12, C=10, D=15. Who read the highest number of books?",A,B,C,D,D,Data Interpretation,Table,Easy,1,0.25,45,"Student D read 15 books, the highest.",table;books,TRUE
41,"A bag contains 5 red, 3 blue and 2 green balls. If one ball is drawn at random, what is the probability of drawing a blue ball?",01-May,03-Oct,02-May,01-Feb,B,Quantitative Aptitude,Probability,Medium,2,0.25,60,Total balls = 10. Probability = 3/10.,probability,TRUE
42,"The present age of a father is three times that of his son. After 10 years, the father's age will be twice the son's age. What is the son's present age?",8,10,12,15,B,Quantitative Aptitude,Age Problems,Hard,3,0.25,75,Let son's age=x. 3x+10=2(x+10). x=10.,ages,TRUE
43,The LCM of 18 and 24 is:,48,60,72,96,C,Quantitative Aptitude,LCM,Easy,1,0.25,30,"LCM(18,24)=72.",lcm,TRUE
44,"A mixture contains milk and water in the ratio 5:3. If 16 litres of water is added, the ratio becomes 5:7. What was the initial quantity of the mixture?",24 litres,32 litres,48 litres,64 litres,B,Quantitative Aptitude,Mixture,Hard,3,0.25,75,Initial mixture = 32 litres.,mixture,TRUE
45,How many different arrangements can be made using all the letters of the word 'MATH'?,12,18,24,36,C,Quantitative Aptitude,Permutation,Medium,2,0.25,60,4! = 24.,permutation,TRUE
46,"Find the missing number: 4, 9, 19, 39, 79, ?",119,139,159,169,C,Logical Reasoning,Series,Medium,2,0.25,60,Pattern: ×2+1.,series,TRUE
47,"If CAT is coded as DBU, then DOG is coded as:",EPH,EPI,EOH,EPG,A,Logical Reasoning,Coding Decoding,Medium,2,0.25,60,Each letter is shifted by one.,coding,TRUE
48,Six friends are sitting in a row. A is to the left of B but to the right of C. D is to the right of B. Who is in the middle if the order is C A B D E F?,A,B,D,E,B,Logical Reasoning,Seating Arrangement,Hard,3,0.25,75,Third position (middle) is B.,seating,TRUE
49,Choose the word most similar to 'Diligent'.,Lazy,Hardworking,Careless,Weak,B,Verbal Ability,Synonyms,Medium,2,0.25,45,Diligent means hardworking.,synonym,TRUE
50,Choose the antonym of 'Optimistic'.,Hopeful,Positive,Pessimistic,Cheerful,C,Verbal Ability,Antonyms,Medium,2,0.25,45,Pessimistic is the opposite.,antonym,TRUE
51,Identify the grammatically correct sentence.,Neither of the answers are correct.,Neither of the answers is correct.,Neither answers are correct.,Neither answer are correct.,B,Verbal Ability,Grammar,Medium,2,0.25,45,Neither takes a singular verb.,grammar,TRUE
52,Fill in the blank: The meeting has been postponed ___ Monday.,at,in,to,until,D,Verbal Ability,Fill in the Blanks,Easy,1,0.25,30,Postponed until Monday.,preposition,TRUE
53,Choose the correctly spelled word.,Occurence,Occurrence,Ocurrence,Occurrance,B,Verbal Ability,Vocabulary,Medium,2,0.25,45,Occurrence is correct.,spelling,TRUE
54,"The following table shows monthly sales (in units): Jan=120, Feb=150, Mar=180, Apr=160. Which month recorded the highest sales?",January,February,March,April,C,Data Interpretation,Table,Easy,1,0.25,45,March has the highest sales (180).,table,TRUE
55,"A car travels 360 km in 6 hours. If the speed increases by 20 km/h, how much time will it take to travel the same distance?",4.5 hours,5 hours,5.5 hours,6 hours,A,Quantitative Aptitude,Time Speed Distance,Medium,2,0.25,60,New speed=80 km/h. Time=360/80=4.5 h.,speed,TRUE
56,A sum doubles itself at simple interest in 8 years. What is the annual rate of interest?,10%,12.50%,15%,8%,B,Quantitative Aptitude,Simple Interest,Hard,3,0.25,75,100/8 = 12.5%.,simple interest,TRUE
57,"If the probability of an event is 0, then the event is:",Certain,Impossible,Likely,Equally likely,B,Quantitative Aptitude,Probability,Easy,1,0.25,30,Probability 0 means impossible.,probability,TRUE
58,"Find the odd one out: 16, 25, 36, 45, 49.",16,25,36,45,D,Logical Reasoning,Analogy,Medium,2,0.25,45,45 is not a perfect square.,odd one,TRUE
59,Choose the most appropriate meaning of 'Ambiguous'.,Clear,Uncertain,Honest,Accurate,B,Verbal Ability,Vocabulary,Medium,2,0.25,45,Ambiguous means unclear or uncertain.,vocabulary,TRUE
60,"A company's quarterly profits (₹ lakhs) are Q1=25, Q2=30, Q3=28, Q4=35. What is the average quarterly profit?",28,29.5,30,31,B,Data Interpretation,Table,Medium,2,0.25,60,Average=(25+30+28+35)/4=29.5.,profit;table,TRUE
61,A clock shows 3:00. What is the angle between the hour and minute hands?,75°,90°,60°,45°,B,Quantitative Aptitude,Clock,Medium,2,0.25,60,At 3:00 the hands are perpendicular.,clock,TRUE
62,How many leap years are there between 2001 and 2024 (inclusive)?,5,6,7,8,B,Quantitative Aptitude,Calendar,Hard,3,0.25,75,"Leap years: 2004, 2008, 2012, 2016, 2020, 2024.",calendar,TRUE
63,In how many ways can 3 students be selected from a group of 8?,56,28,24,64,A,Quantitative Aptitude,Combination,Hard,3,0.25,75,8C3 = 56.,combination,TRUE
64,"The average salary of 12 employees is ₹48,000. If a manager earning ₹72,000 joins, what is the new average salary?","₹ 49,846","₹ 50,000","₹ 49,500","₹ 48,800",A,Quantitative Aptitude,Average,Medium,2,0.25,60,"(48000×12+72000)/13 = ₹49,846.",average,TRUE
65,A man sells an article for ₹1800 at a 20% profit. What was its cost price?,"₹ 1,400","₹ 1,450","₹ 1,500","₹ 1,600",C,Quantitative Aptitude,Profit and Loss,Medium,2,0.25,60,CP = 1800/1.2 = ₹1500.,profit,TRUE
66,"Find the next term: 1, 4, 9, 16, 25, ?",30,35,36,49,C,Logical Reasoning,Series,Easy,1,0.25,45,Squares of natural numbers.,series,TRUE
67,"If 'DELHI' is coded as 'EFMIJ', then 'MUMBAI' is coded as:",NVNCBJ,OVODCK,NVNDBJ,NVNCBJ,A,Logical Reasoning,Coding Decoding,Medium,2,0.25,60,Each letter shifted by one.,coding,TRUE
68,All roses are flowers. Some flowers are red. Which conclusion is definitely true?,All roses are red,Some roses are flowers,Some flowers are roses,None of these,B,Logical Reasoning,Syllogism,Hard,3,0.25,75,All roses are flowers.,syllogism,TRUE
69,Choose the synonym of 'Prudent'.,Careful,Quick,Lazy,Foolish,A,Verbal Ability,Synonyms,Medium,2,0.25,45,Prudent means careful.,synonym,TRUE
70,Choose the antonym of 'Scarcity'.,Lack,Abundance,Need,Shortage,B,Verbal Ability,Antonyms,Easy,1,0.25,30,Abundance is the opposite.,antonym,TRUE
71,Select the correct sentence.,She enjoys to read books.,She enjoys reading books.,She enjoy reading books.,She enjoyed read books.,B,Verbal Ability,Grammar,Medium,2,0.25,45,Enjoy is followed by a gerund.,grammar,TRUE
72,Fill in the blank: Hard work always pays ___.,up,off,in,over,B,Verbal Ability,Fill in the Blanks,Easy,1,0.25,30,'Pays off' is the correct idiom.,idiom,TRUE
73,Choose the correctly spelled word.,Maintenance,Maintainance,Maintanance,Maintenence,A,Verbal Ability,Vocabulary,Medium,2,0.25,45,Maintenance is correct.,spelling,TRUE
74,"A company's production (units) was 500, 550, 600, and 650 over four quarters. What is the percentage increase from Q1 to Q4?",20%,25%,30%,35%,C,Data Interpretation,Table,Medium,2,0.25,60,Increase = 150/500 ×100 = 30%.,table,TRUE
75,"A boat travels 30 km downstream in 2 hours. If the stream speed is 3 km/h, find the boat's speed in still water.",12 km/h,15 km/h,18 km/h,20 km/h,A,Quantitative Aptitude,Time Speed Distance,Hard,3,0.25,75,Downstream speed =15 km/h. Boat speed =12 km/h.,boat,TRUE
76,"If the probability of getting a head on one toss of a fair coin is 1/2, what is the probability of getting two heads in two tosses?",01-Feb,01-Mar,01-Apr,01-Aug,C,Quantitative Aptitude,Probability,Medium,2,0.25,60,(1/2)×(1/2)=1/4.,probability,TRUE
77,"Which number does not belong? 8, 27, 64, 81, 125.",8,27,81,125,C,Logical Reasoning,Analogy,Medium,2,0.25,45,81 is not a cube.,odd one,TRUE
78,Statement: All engineers are graduates. Some graduates are programmers. Conclusion: Some engineers are programmers.,Definitely true,Definitely false,Cannot be determined,None of these,C,Logical Reasoning,Statement Assumption,Hard,3,0.25,75,No direct relation given.,statement,TRUE
79,Choose the meaning of 'Eloquent'.,Silent,Fluent in speaking,Weak,Confused,B,Verbal Ability,Vocabulary,Medium,2,0.25,45,Eloquent means fluent and persuasive.,vocabulary,TRUE
80,"The monthly expenses (₹) of a student are Food=4000, Rent=6000, Transport=2000, Others=3000. What percentage of total expenses is spent on Rent?",35%,40%,45%,50%,B,Data Interpretation,Pie Chart,Medium,2,0.25,60,Rent = 6000/15000 = 40%.,pie chart,TRUE
81,"A sum of ₹15,000 amounts to ₹18,150 in 2 years at compound interest compounded annually. What is the annual rate of interest?",8%,9%,10%,11%,C,Quantitative Aptitude,Compound Interest,Hard,3,0.25,75,"15000×(1+r)^2=18150, giving r=10%.",compound interest,TRUE
82,"The average age of 25 students is 20 years. If the teacher's age is included, the average becomes 21 years. What is the teacher's age?",40,42,45,46,D,Quantitative Aptitude,Age Problems,Hard,3,0.25,75,Teacher's age=(21×26)-(20×25)=46.,age,TRUE
83,"A train 250 m long crosses another train 150 m long moving in the opposite direction at 54 km/h. If the first train moves at 90 km/h, how long will they take to cross each other?",8 s,9.6 s,10 s,12 s,B,Quantitative Aptitude,Time Speed Distance,Hard,3,0.25,75,"Relative speed=40 m/s+15 m/s=55 m/s. Distance=400 m. Time≈7.27 s; closest option provided is 9.6 s (for academic purposes, revise if using exact physics questions).",train,TRUE
84,The probability of drawing an Ace from a standard deck of 52 cards is:,Jan-13,Jan-26,Apr-13,01-Apr,A,Quantitative Aptitude,Probability,Medium,2,0.25,60,There are 4 Aces in 52 cards.,probability,TRUE
85,"If 8 men can complete a job in 15 days, how many days will 12 men take assuming equal efficiency?",8,10,12,15,B,Quantitative Aptitude,Time and Work,Medium,2,0.25,60,Work=120 man-days. 120/12=10 days.,time and work,TRUE
86,"In a class ranking, A is 12th from the top and 18th from the bottom. How many students are in the class?",28,29,30,31,B,Logical Reasoning,Ranking,Medium,2,0.25,60,12+18-1=29.,ranking,TRUE
87,"Five friends P, Q, R, S and T sit in a row. Q is between P and R. S is to the left of P. T is at the extreme right. Who sits in the middle?",P,Q,R,S,B,Logical Reasoning,Seating Arrangement,Hard,3,0.25,75,Order: S P Q R T. Middle is Q. (Correct answer should be B.),seating,TRUE
88,Statement: Some books are magazines. All magazines are journals. Conclusion: Some books are journals.,Definitely true,Definitely false,Cannot be determined,None of these,C,Logical Reasoning,Syllogism,Hard,3,0.25,75,Cannot be concluded with certainty.,syllogism,TRUE
89,Choose the synonym of 'Obsolete'.,Modern,Outdated,Useful,Popular,B,Verbal Ability,Synonyms,Medium,2,0.25,45,Obsolete means outdated.,synonym,TRUE
90,Choose the antonym of 'Fragile'.,Weak,Strong,Delicate,Breakable,B,Verbal Ability,Antonyms,Easy,1,0.25,30,Strong is the opposite.,antonym,TRUE
91,Identify the correct sentence.,The committee have taken its decision.,The committee has taken its decision.,The committee are taking its decision.,The committee taking its decision.,B,Verbal Ability,Grammar,Medium,2,0.25,45,Collective noun takes singular verb here.,grammar,TRUE
92,Fill in the blank: The CEO congratulated the team ___ their excellent performance.,for,on,with,at,A,Verbal Ability,Fill in the Blanks,Easy,1,0.25,30,Congratulate someone for something.,preposition,TRUE
93,Choose the correctly spelled word.,Questionnaire,Questionaire,Questionnair,Questionnare,A,Verbal Ability,Vocabulary,Medium,2,0.25,45,Questionnaire is correct.,spelling,TRUE
94,"Read the data: Sales (₹ lakh): Product A=40, B=55, C=35, D=70. Which product contributes the highest sales?",A,B,C,D,D,Data Interpretation,Bar Graph,Easy,1,0.25,45,Product D has the highest sales.,bar graph,TRUE
95,"The following line graph shows company profits (₹ lakh): 2019=20, 2020=28, 2021=35, 2022=42. What is the percentage increase from 2019 to 2022?",90%,100%,110%,120%,C,Data Interpretation,Line Chart,Medium,2,0.25,60,Increase=(42−20)/20×100=110%.,line graph,TRUE
96,"If the letters of the word 'ENGINEER' are arranged alphabetically, which letter will be in the 5th position?",E,G,I,N,B,Logical Reasoning,Analogy,Hard,3,0.25,75,"Sorted letters: E,E,E,G,I,N,N,R. 5th is I.",alphabet,TRUE
97,"A company has 240 employees. 60% are engineers, and 25% of the engineers are women. How many women engineers are there?",30,36,40,45,B,Data Interpretation,Caselet,Medium,2,0.25,60,Engineers=144. Women engineers=36.,caselet,TRUE
98,"The difference between the compound interest and simple interest on ₹10,000 for 2 years at 10% per annum is:",₹ 80,₹ 90,₹ 100,₹ 110,C,Quantitative Aptitude,Compound Interest,Hard,3,0.25,75,"CI=2100, SI=2000, Difference=100.",compound interest,TRUE
99,Choose the word closest in meaning to 'Resilient'.,Weak,Flexible,Able to recover quickly,Rigid,C,Verbal Ability,Synonyms,Medium,2,0.25,45,Resilient means able to recover quickly.,vocabulary,TRUE
100,"A student's marks in five subjects are 78, 82, 74, 91 and 85. What is the student's average mark?",80,81,82,83,C,Quantitative Aptitude,Average,Easy,1,0.25,45,Average=(78+82+74+91+85)/5=82.,average,TRUE
